game_id,scenario,team,individual_payoffs,team_payoff,steps
21,chain_reaction,"['free_rider', 'firefighter', 'firefighter', 'evolved_v6']","[47.60000002384186, -50.79999899864197, -62.79999887943268, -69.9999988079071]",-33.99999916553497,100
22,chain_reaction,"['coordinator', 'coordinator', 'firefighter', 'hero']","[-3.4999998807907104, 0.10000008344650269, -11.899999797344208, -11.899999797344208]",-6.799999848008156,17
23,chain_reaction,"['hero', 'evolved_v6', 'free_rider', 'coordinator']","[-69.9999988079071, -69.9999988079071, 42.800000071525574, -8.799999415874481]",-26.49999924004078,100
24,chain_reaction,"['evolved_v6', 'free_rider', 'hero', 'free_rider']","[-69.9999988079071, 46.40000003576279, -69.9999988079071, 47.60000002384186]",-11.499999389052391,100
25,chain_reaction,"['hero', 'hero', 'evolved_v6', 'firefighter']","[-69.9999988079071, -69.9999988079071, -69.9999988079071, -56.79999893903732]",-66.69999884068966,100
26,chain_reaction,"['firefighter', 'firefighter', 'hero', 'evolved_v6']","[-61.59999889135361, -59.199998915195465, -69.9999988079071, -69.9999988079071]",-65.19999885559082,100
27,chain_reaction,"['coordinator', 'coordinator', 'hero', 'evolved_v6']","[10.400000393390656, -5.199999451637268, -69.9999988079071, -69.9999988079071]",-33.699999168515205,100
28,chain_reaction,"['coordinator', 'evolved_v6', 'hero', 'free_rider']","[-9.999999403953552, -69.9999988079071, -69.9999988079071, 50.0]",-24.99999925494194,100
29,chain_reaction,"['coordinator', 'free_rider', 'free_rider', 'free_rider']","[-12.399999380111694, 47.60000002384186, 47.60000002384186, 46.40000003576279]",32.3000001758337,100
30,chain_reaction,"['coordinator', 'free_rider', 'hero', 'hero']","[2.0000000596046448, 8.0, -11.199999809265137, -11.199999809265137]",-3.099999889731407,16
31,chain_reaction,"['firefighter', 'evolved_v6', 'evolved_v6', 'hero']","[-11.199999809265137, -11.199999809265137, -11.199999809265137, -11.199999809265137]",-11.199999809265137,16
32,chain_reaction,"['evolved_v6', 'free_rider', 'evolved_v6', 'evolved_v6']","[-11.199999809265137, 6.800000011920929, -11.199999809265137, -11.199999809265137]",-6.69999985396862,16
33,chain_reaction,"['coordinator', 'evolved_v6', 'firefighter', 'free_rider']","[-6.399999439716339, -69.9999988079071, -51.99999898672104, 47.60000002384186]",-20.199999302625656,100
34,chain_reaction,"['hero', 'free_rider', 'coordinator', 'hero']","[-11.199999809265137, 8.0, -1.5999999046325684, -11.199999809265137]",-3.9999998807907104,16
35,chain_reaction,"['free_rider', 'coordinator', 'evolved_v6', 'evolved_v6']","[48.80000001192093, -1.599999487400055, -69.9999988079071, -69.9999988079071]",-23.199999272823334,100
36,chain_reaction,"['firefighter', 'hero', 'coordinator', 'evolved_v6']","[-9.999999821186066, -11.199999809265137, -1.5999999046325684, -11.199999809265137]",-8.499999836087227,16
37,chain_reaction,"['evolved_v6', 'free_rider', 'coordinator', 'evolved_v6']","[-69.9999988079071, 47.60000002384186, 3.2000004649162292, -69.9999988079071]",-22.29999928176403,100
38,chain_reaction,"['evolved_v6', 'hero', 'hero', 'firefighter']","[-69.9999988079071, -69.9999988079071, -69.9999988079071, -51.99999898672104]",-65.49999885261059,100
39,chain_reaction,"['coordinator', 'evolved_v6', 'coordinator', 'coordinator']","[-7.59999942779541, -69.9999988079071, -0.3999994993209839, -5.199999451637268]",-20.79999929666519,100
